year,month,day,rmm1,rmm2,amplitude
1946.0,1.0,3.0,-0.5046235918998718,0.549380362033844,0.7459649443626404
1946.0,1.0,4.0,-0.6519641280174255,0.3660074770450592,0.7476755380630493
1946.0,1.0,5.0,-0.7611156105995178,0.1700618416070938,0.7798833250999451
1946.0,1.0,6.0,-0.8303948044776917,-0.023901402950286865,0.8307386636734009
1946.0,1.0,7.0,-0.8600713014602661,-0.20227767527103424,0.8835377097129822
1946.0,1.0,8.0,-0.8521103858947754,-0.3535582721233368,0.9225484132766724
1946.0,1.0,9.0,-0.8098932504653931,-0.46921780705451965,0.9359980821609497
1946.0,1.0,10.0,-0.7379351854324341,-0.5442636013031006,0.9169357419013977
1946.0,1.0,11.0,-0.6416125297546387,-0.5774062275886536,0.8631712794303894
1946.0,1.0,12.0,-0.5268982648849487,-0.5708521604537964,0.7768487334251404
1946.0,1.0,13.0,-0.4000992476940155,-0.5297595858573914,0.6638709306716919
1946.0,1.0,14.0,-0.2675916254520416,-0.4614342153072357,0.5334105491638184
1946.0,1.0,15.0,-0.13555166125297546,-0.3743687570095062,0.39815351366996765
1946.0,1.0,16.0,-0.009689008817076683,-0.2772413492202759,0.2774105966091156
1946.0,1.0,17.0,0.10500400513410568,-0.17799019813537598,0.20665514469146729
1946.0,1.0,18.0,0.20446878671646118,-0.08306685835123062,0.22069795429706573
1946.0,1.0,19.0,0.2857416272163391,0.0030554146505892277,0.28575795888900757
1946.0,1.0,20.0,0.347042441368103,0.07807568460702896,0.3557165563106537
1946.0,1.0,21.0,0.38777992129325867,0.14175917208194733,0.4128788411617279
1946.0,1.0,22.0,0.40847325325012207,0.19556669890880585,0.4528760612010956
1946.0,1.0,23.0,0.41059941053390503,0.2420884519815445,0.4766536355018616
1946.0,1.0,24.0,0.39638590812683105,0.2843746840953827,0.48784294724464417
1946.0,1.0,25.0,0.3685736358165741,0.3252655863761902,0.4915732145309448
1946.0,1.0,26.0,0.33017703890800476,0.36681947112083435,0.49353155493736267
1946.0,1.0,27.0,0.2842639684677124,0.40991970896720886,0.4988388121128082
1946.0,1.0,28.0,0.23377195000648499,0.45411282777786255,0.5107521414756775
1946.0,1.0,29.0,0.18136705458164215,0.4976934492588043,0.529710054397583
1946.0,1.0,30.0,0.12934190034866333,0.5380142331123352,0.5533431768417358
1946.0,1.0,31.0,0.07954304665327072,0.571963906288147,0.5774684548377991
1946.0,2.0,1.0,0.09700244665145874,0.6233492493629456,0.6308516263961792
1946.0,2.0,2.0,0.053571511059999466,0.6315293908119202,0.6337975263595581
1946.0,2.0,3.0,0.01231471449136734,0.627212643623352,0.6273335218429565
1946.0,2.0,4.0,-0.026754887774586678,0.6111823320388794,0.6117676496505737
1946.0,2.0,5.0,-0.0642700269818306,0.5855629444122314,0.5890794396400452
1946.0,2.0,6.0,-0.10157274454832077,0.5535303354263306,0.5627724528312683
1946.0,2.0,7.0,-0.14070327579975128,0.5188273787498474,0.5375679135322571
1946.0,2.0,8.0,-0.18428434431552887,0.48515814542770386,0.5189789533615112
1946.0,2.0,9.0,-0.23528365790843964,0.45555350184440613,0.5127254724502563
1946.0,2.0,10.0,-0.29665490984916687,0.4318084716796875,0.5238918662071228
1946.0,2.0,11.0,-0.3708804249763489,0.4140841066837311,0.5558938384056091
1946.0,2.0,12.0,-0.45946204662323,0.40074247121810913,0.609671950340271
1946.0,2.0,13.0,-0.5624251365661621,0.3884503245353699,0.6835317611694336
1946.0,2.0,14.0,-0.6779122948646545,0.3725487291812897,0.7735357880592346
1946.0,2.0,15.0,-0.8019440770149231,0.34764349460601807,0.874053955078125
1946.0,2.0,16.0,-0.9284115433692932,0.3083414137363434,0.9782752394676208
1946.0,2.0,17.0,-1.0493409633636475,0.25003114342689514,1.078717827796936
1946.0,2.0,18.0,-1.155438780784607,0.16960155963897705,1.1678199768066406
1946.0,2.0,19.0,-1.2368818521499634,0.06599656492471695,1.2386412620544434
1946.0,2.0,20.0,-1.284285068511963,-0.059472326189279556,1.2856613397598267
1946.0,2.0,21.0,-1.289739966392517,-0.20310206711292267,1.305633783340454
1946.0,2.0,22.0,-1.247801661491394,-0.35906872153282166,1.298437237739563
1946.0,2.0,23.0,-1.156294345855713,-0.5199601650238037,1.2678229808807373
1946.0,2.0,24.0,-1.0168191194534302,-0.6775019764900208,1.2218551635742188
1946.0,2.0,25.0,-0.8348805904388428,-0.8233848214149475,1.1725988388061523
1946.0,2.0,26.0,-0.6195887327194214,-0.950087308883667,1.134264588356018
1946.0,2.0,27.0,-0.38294869661331177,-1.0515958070755005,1.1191530227661133
1946.0,2.0,28.0,-0.13880330324172974,-1.1239341497421265,1.1324726343154907
1946.0,3.0,1.0,0.018617046996951103,-1.2697041034698486,1.2698405981063843
1946.0,3.0,2.0,0.2395859807729721,-1.2759729623794556,1.2982712984085083
1946.0,3.0,3.0,0.43020081520080566,-1.2492213249206543,1.3212217092514038
1946.0,3.0,4.0,0.5801669955253601,-1.1952975988388062,1.3286572694778442
1946.0,3.0,5.0,0.6834151744842529,-1.1216710805892944,1.3134695291519165
1946.0,3.0,6.0,0.7387045621871948,-1.0364934206008911,1.2727934122085571
